,Company Name,Industry,Symbol,Ticker Symbol(BSE),Current Close(in ₹),Expected Close(in ₹),Expected Return(%),Estimated Loss(%)
188,Persistent Systems Ltd,Computers - Software,PERSISTENT,533179,3370.05,4679.8,38.86,46.7
160,LIC Housing Finance Ltd,Finance - Housing,LICHSGFIN,500253,673.5,933.66,38.63,13.4
143,Jindal Steel & Power Ltd,Steel,JINDALSTEL,532286,931.1,1288.36,38.37,17.15
24,Aurobindo Pharma Ltd,Pharmaceuticals - Bulk Drugs & Formln,AUROPHARMA,524804,1152.45,1593.8,38.3,22.34
120,Hindustan Zinc Ltd,Mining & Mineral products,HINDZINC,500188,426.85,586.45,37.39,9.92
189,Petronet LNG Ltd,Gas Distribution,PETRONET,532522,310.55,426.56,37.36,9.33
125,ICICI Securities Ltd,Finance & Investments,ISEC,541179,756.85,1032.4,36.41,17.59
91,Federal Bank Ltd,Banks - Private Sector,FEDERALBNK,500469,162.5,219.97,35.37,21.23
10,Aditya Birla Fashion & Retail Ltd,Textiles - Retail,ABFRL,535755,262.95,353.43,34.41,13.51
68,Container Corporation Of India Ltd,Logistics,CONCOR,531344,1028.15,1347.96,31.11,14.58
23,AU Small Finance Bank Ltd,Banks - Private Sector,AUBANK,540611,633.4,826.65,30.51,49.19
55,Canara Bank,Banks - Public Sector,CANBK,532483,621.85,805.83,29.59,19.86
156,L&T Finance Ltd,Finance & Investments,LTF,533519,166.7,215.09,29.03,16.88
222,Steel Authority of India Ltd,Steel,SAIL,500113,164.25,211.58,28.82,13.44
185,Oracle Financial Services Software Ltd,Computers - Software,OFSS,532466,7594.35,9781.45,28.8,14.85
163,Lupin Ltd,Pharmaceuticals - Bulk Drugs & Formln,LUPIN,500257,1645.45,2076.45,26.19,8.21
87,Emami Ltd,FMCG - Personal Care,EMAMILTD,531162,486.6,611.38,25.64,10.54
184,Oil India Ltd,Oil Drilling / Allied Services,OIL,533106,620.3,778.21,25.46,15.13
228,Sun TV Network Ltd,Entertainment / Electronic Media Software,SUNTV,532733,655.3,804.99,22.84,12.44
39,Bata India Ltd,Leather / Leather Products,BATAINDIA,500043,1367.95,1599.74,16.94,12.39
126,IDFC First Bank Ltd,Banks - Private Sector,IDFCFIRSTB,539437,82.15,93.68,14.04,16.03
254,Union Bank of India,Banks - Public Sector,UNIONBANK,532477,154.25,173.31,12.36,11.86
198,Punjab National Bank,Banks - Public Sector,PNB,532461,141.1,147.09,4.25,13.44
