scheme_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr
Kotak Debt Hybrid Fund,5,Hybrid,Conservative Hybrid Mutual Funds,6.1,14.3,10
Canara Robeco Conservative Hybrid Fund,5,Hybrid,Conservative Hybrid Mutual Funds,3.8,11.4,9.4
Edelweiss Equity Savings Fund,5,Hybrid,Equity Savings Mutual Funds,4.4,12.1,9
ICICI Pru Regular Savings Fund,5,Hybrid,Conservative Hybrid Mutual Funds,5.5,11.3,9
ICICI Pru Income Optimizer Fund,5,Other,FoFs Domestic,7.8,13.3,8.8
ICICI Pru BHARAT 22 FOF  – Direct Growth,5,Other,FoFs Domestic,22.1,35,
SBI Banking & Financial Services Fund,5,Equity,Sectoral / Thematic Mutual Funds,5.5,22.4,12.5
Edelweiss Govt Securities Fund,5,Debt,Gilt Mutual Funds,4.3,6.8,8.2
SBI Magnum Gilt Fund,5,Debt,Gilt Mutual Funds,5.7,6.1,8.3
ICICI Pru Gilt Fund,5,Debt,Gilt Mutual Funds,6.3,6.7,8.4
ICICI Pru All Seasons Bond Fund,5,Debt,Dynamic Bond,6.5,7.5,8.2
Baroda BNP Paribas Credit Risk Fund,5,Debt,Credit Risk Funds,5.7,10.9,7.6
Nippon India GSF – Dir-Defined Maturity Date,5,Debt,Gilt Mutual Funds,4.4,5.5,8.3
Bandhan Banking & PSU Debt Fund,5,Debt,Banking and PSU Mutual Funds,4.5,6.9,7.6
ICICI Pru Banking & PSU Debt Fund,5,Debt,Banking and PSU Mutual Funds,5.8,6.9,7.2
ICICI Pru Corporate Bond Fund,5,Debt,Corporate Bond Mutual Funds,5.8,7,7.3
Tata Dynamic Bond Fund,5,Debt,Dynamic Bond,1.7,32.4,13.3
Sundaram Balanced Advantage Fund,5,Hybrid,Dynamic Asset Allocation or Balanced Advantage,3.9,11.9,7.2
Nippon India Corporate Bond Fund,5,Debt,Corporate Bond Mutual Funds,5.1,6.8,7
Nippon India Corporate Bond Fund,5,Debt,Corporate Bond Mutual Funds,5.1,6.8,7
AXIS Corporate Debt Fund,5,Debt,Corporate Bond Mutual Funds,4.9,7.5,7.3
Aditya Birla SL Floating Rate Fund,5,Debt,Floater Mutual Funds,5.8,6.4,6.8
Tata Money Market Fund,5,Debt,Money Market Funds,5.7,5.6,4.8
Aditya Birla SL Medium Term Plan – Direct Growth,5,Debt,Medium Duration Funds,22.1,14.5,8.6
Nippon India Money Market Fund,5,Debt,Money Market Funds,5.7,5.3,6.3
Tata Arbitrage Fund,5,Hybrid,Arbitrage Mutual Funds,5.7,5,
UTI-Bond Fund,5,Debt,Medium to Long Duration Funds,12,10.4,4.4
Edelweiss Arbitrage Fund,5,Hybrid,Arbitrage Mutual Funds,5.8,5,5.7
Quant Liquid Plan – Direct Growth,5,Debt,Liquid Mutual Funds,5.6,4.9,5.9
Nippon India USD Fund,5,Debt,Ultra Short Duration Funds,5.9,7,5.9
Invesco India Arbitrage Fund,5,Hybrid,Arbitrage Mutual Funds,6.4,5,5.6
UTI-Ultra Short Term Fund,5,Debt,Ultra Short Duration Funds,5.4,6.1,5.7
Aditya Birla SL Dynamic Bond Fund,5,Debt,Dynamic Bond,7.5,8,6
UTI-Short Term Income Fund,5,Debt,Short Duration Funds,5,8.5,5.4
Mahindra Manulife Liquid Fund,5,Debt,Liquid Mutual Funds,5.7,4.5,5.4
Baroda BNP Paribas Liquid Fund,5,Debt,Liquid Mutual Funds,5.7,4.4,5.4
Sundaram Short Duration Fund,5,Debt,Short Duration Funds,4.8,6.4,4.8
UTI-Treasury Advantage Fund,5,Debt,Low Duration Funds,5.2,7.3,4.8
Bank of India Short Term Income – Direct Growth,5,Debt,Short Duration Funds,28.3,8.8,4
Bank of India Credit Risk Fund,5,Debt,Credit Risk Funds,130.8,12.8,-4.1
HSBC Overnight Fund,5,Debt,Overnight Mutual Funds,5.4,3.9,
Parag Parikh Tax Saver Fund,5,Equity,ELSS Mutual Funds,8,33,
Mirae Asset Overnight Fund,5,Debt,Overnight Mutual Funds,5.4,3.9,
Mahindra Manulife Large & Mid Cap Fund,5,Equity,Large & Mid Cap Funds,-1.1,30.4,
Bank of India Overnight Fund,5,Debt,Overnight Mutual Funds,5.5,4,
ICICI Pru India Equity FOF – Direct Growth,5,Other,FoFs Domestic,4.9,32.2,
Sundaram Large Cap Fund,5,Equity,Large Cap Mutual Funds,0.9,,
ITI Banking & PSU Debt Fund,5,Debt,Banking and PSU Mutual Funds,5.4,,
ITI Dynamic Bond Fund,5,Debt,Dynamic Bond,5.7,,
Bank of India Small Cap Fund,4,Equity,Small Cap Mutual Funds,-1,47.7,
Kotak Small Cap Fund,4,Equity,Small Cap Mutual Funds,-0.7,43.1,17
Edelweiss Small Cap Fund,4,Equity,Small Cap Mutual Funds,3,42.5,
Nippon India Small Cap Fund,4,Equity,Small Cap Mutual Funds,8.7,47.6,16.8
Tata Small Cap Fund,4,Equity,Small Cap Mutual Funds,17.1,44.1,
SBI Small Cap Fund,4,Equity,Small Cap Mutual Funds,8.2,38.3,15.3
SBI Magnum Midcap Fund,4,Equity,Mid Cap Mutual Funds,6.4,37,13.5
Kotak Emerging Equity Fund,4,Equity,Mid Cap Mutual Funds,6.6,34,15.2
Edelweiss Mid Cap Fund,4,Equity,Mid Cap Mutual Funds,4.9,35.5,14
Bank of India Tax Advantage Fund,4,Equity,ELSS Mutual Funds,0.9,29,13.2
Bank of India Manufacturing & Infrastr Fund,4,Equity,Sectoral / Thematic Mutual Funds,7.6,35.4,11.5
Nippon India Growth Fund,4,Equity,Mid Cap Mutual Funds,5.6,32.4,14.5
Nippon India Growth Fund,4,Equity,Mid Cap Mutual Funds,5.6,32.4,14.5
Bank of India Mid & Small Cap Equity & Debt Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,-0.3,29.3,10.4
ICICI Pru Value Discovery Fund,4,Equity,Value Funds,8.9,36.9,14.9
Bandhan Tax Advantage (ELSS) Fund,4,Equity,ELSS Mutual Funds,3,37.1,13
SBI Consumption Opportunities Fund,4,Equity,Sectoral / Thematic Mutual Funds,11.1,31,12.7
ICICI Pru Multi-Asset Fund,4,Hybrid,Multi Asset Allocation Mutual Funds,11.3,31.3,14.2
Kotak Infrastructure & Ecoc. Reform-SP-DirGrowth,4,Equity,Sectoral / Thematic Mutual Funds,23.2,39.7,13.9
PGIM India Elss Tax Saver Fund,4,Equity,ELSS Mutual Funds,2.9,31.8,13.7
Canara Robeco Consumer Trends Fund,4,Equity,Sectoral / Thematic Mutual Funds,7.1,26.7,15.1
Edelweiss Large & Mid Cap Fund,4,Equity,Large & Mid Cap Funds,1.2,27.8,13.2
SBI Infrastructure Fund,4,Equity,Sectoral / Thematic Mutual Funds,12.8,33.5,13
DSP Tax Saver Fund,4,Equity,ELSS Mutual Funds,1.8,28.8,13.3
ICICI Pru Large & Mid Cap Fund,4,Equity,Large & Mid Cap Funds,9.5,33.2,13.7
Union Long Term Equity Fund,4,Equity,ELSS Mutual Funds,2.3,28.5,12.8
UTI-Flexi Cap Fund,4,Equity,Flexi Cap Funds,-9,22.5,12.2
Sundaram Focused Fund,4,Equity,Focused Funds,-1.8,24.5,13.1
Union Flexi Cap Fund,4,Equity,Flexi Cap Funds,0.6,27.7,12.9
Kotak Equity Opportunities – Direct Growth,4,Equity,Large & Mid Cap Funds,6.2,28.8,13.9
IDBI India Top 100 Equity Fund,4,Equity,Large Cap Mutual Funds,0.5,26,12.4
Canara Robeco Flexi Cap Fund,4,Equity,Flexi Cap Funds,-0.9,24.8,13.8
Kotak Tax Saver Fund,4,Equity,ELSS Mutual Funds,5,28.9,14.4
ICICI Pru Focused Equity Fund,4,Equity,Focused Funds,6.1,31.2,13.4
AXIS Gold Fund,4,Other,FoFs Domestic,14.5,12,13.7
Invesco India Contra Fund,4,Equity,Contra Funds,2.8,27.6,12.3
Kotak India EQ Contra Fund,4,Equity,Contra Funds,7.3,29.7,14.2
Invesco India Gold Fund,4,Other,FoFs Domestic,13.2,11.5,13.2
UTI-Value Opportunities Fund,4,Equity,Value Funds,1.7,27.2,12.2
Tata Large & Mid Cap Fund,4,Equity,Large & Mid Cap Funds,8.8,33.5,14
Franklin India Flexi Cap Fund,4,Equity,Flexi Cap Funds,3.8,31.1,12
JM Flexicap Fund,4,Equity,Flexi Cap Funds,5.2,30.7,13.8
Franklin India Focused Equity Fund,4,Equity,Focused Funds,5.1,30.9,12.9
Edelweiss Aggressive Hybrid Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,6.5,24.6,13
Mahindra Manulife Large Cap Fund,4,Equity,Large Cap Mutual Funds,0.3,25.7,
AXIS Flexi Cap Fund,4,Equity,Flexi Cap Funds,-8.3,17.9,12.3
Baroda BNP Paribas Large Cap Fund,4,Equity,Large Cap Mutual Funds,3,23.5,12.8
UTI-Mastershare – Direct Growth,4,Equity,Large Cap Mutual Funds,-2,24.2,11.5
Edelweiss Balanced Advantage Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,2.9,18.5,12
HDFC Flexi Cap Fund,4,Equity,Flexi Cap Funds,12.4,34.5,14
Canara Robeco Equity Hybrid Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,1.8,20.1,12.2
Baroda BNP Paribas Balanced Advantage Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,3.7,19.8,
ICICI Pru Bluechip Fund,4,Equity,Large Cap Mutual Funds,4.4,28.2,12.3
HDFC Multi-Asset Fund,4,Hybrid,Multi Asset Allocation Mutual Funds,6.9,23,10.9
Edelweiss Large Cap Fund,4,Equity,Large Cap Mutual Funds,4.9,26,12.8
AXIS Bluechip Fund,4,Equity,Large Cap Mutual Funds,-6.1,17.3,12.1
Invesco India Largecap Fund,4,Equity,Large Cap Mutual Funds,-1.8,24,11.1
Mirae Asset Hybrid – Equity Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,1.7,21.9,12.2
ICICI Pru S&P BSE Sensex Index Fund,4,Other,Index Funds,1.4,25.8,12.9
HDFC Balanced Advantage Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,14.4,29.3,12.9
HDFC Retirement Savings Fund,4,Solution Oriented,Retirement Funds,8,24.5,12.3
Bandhan Nifty 50 Index Fund,4,Other,Index Funds,1.1,26.2,12.2
Nippon India Index Fund,4,Other,Index Funds,1.5,25.6,13
ICICI Pru Asset Allocator Fund,4,Other,FoFs Domestic,8.8,21.6,12.8
HDFC Index Fund,4,Other,Index Funds,2.4,25.8,12.8
Tata S&P BSE Sensex Index Fund,4,Other,Index Funds,2.4,25.1,12.8
Tata Balanced Advantage Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,5.8,18.7,
Mahindra Manulife Equity Savings Fund,4,Hybrid,Equity Savings Mutual Funds,1.7,32.4,13.3
Sundaram Aggressive Hybrid Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,1.2,21.7,9.7
Sundaram Equity Savings Fund,4,Hybrid,Equity Savings Mutual Funds,3.9,16.8,9.9
JM Equity Hybrid Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,8,29.5,11.2
HDFC Dynamic PE Ratio Fund,4,Other,FoFs Domestic,8.6,21.9,11.1
ICICI Pru Balanced Advantage Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,6.7,19.7,10.4
Aditya Birla SL Balanced Advantage Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,4.5,18.6,9.7
SBI Magnum Children’s Benefit Fund,4,Solution Oriented,Childrens Funds,3.1,15.2,8.3
Sundaram Fin Serv Opportunities – Direct Growth,4,Equity,Sectoral / Thematic Mutual Funds,11.4,25.9,12.6
SBI Conservative Hybrid Fund,4,Hybrid,Conservative Hybrid Mutual Funds,6.2,13.8,8.8
Kotak Equity Savings Fund,4,Hybrid,Equity Savings Mutual Funds,6.6,14.4,9.2
HDFC Equity Savings Fund,4,Hybrid,Equity Savings Mutual Funds,5.1,16,8.8
Aditya Birla SL FP FoF – Conservative – Direct Growth,4,Other,FoFs Domestic,4.7,13.3,8.2
UTI-Equity Savings Fund,4,Hybrid,Equity Savings Mutual Funds,6.1,14.7,
Tata Banking & Financial Services Fund,4,Equity,Sectoral / Thematic Mutual Funds,11.9,23.2,12.6
Bank of India Conservative Hybrid Fund,4,Hybrid,Conservative Hybrid Mutual Funds,22.3,15.5,6.4
Taurus Banking & Financial Services-Direct Growth,4,Equity,Sectoral / Thematic Mutual Funds,9,21.9,11.9
DSP G-Sec Fund,4,Debt,Gilt Mutual Funds,4.4,5.9,8.6
ICICI Pru Credit Risk Fund,4,Debt,Credit Risk Funds,5.8,8,8.1
HDFC Retirement Savings Fund,4,Solution Oriented,Retirement Funds,6,10.3,7.8
AXIS Gilt Fund,4,Debt,Gilt Mutual Funds,4,5.9,7.9
SBI Magnum Income Fund,4,Debt,Medium to Long Duration Funds,4.8,6.9,7.8
SBI Magnum Medium Duration Fund,4,Debt,Medium Duration Funds,4.6,7.2,7.9
ICICI Pru Medium Term Bond Fund,4,Debt,Medium Duration Funds,5.6,7.7,7.6
Kotak Gilt – Invest Plan – Direct Growth,4,Debt,Gilt Mutual Funds,5.2,6.3,8.4
Kotak Gilt Invest – PF & Trust Plan – Direct Growth,4,Debt,Gilt Mutual Funds,5.2,6.3,8.4
Baroda BNP Paribas Conservative Hybrid Fund,4,Hybrid,Conservative Hybrid Mutual Funds,3.7,9.2,7.7
Aditya Birla SL Income Fund,4,Debt,Medium to Long Duration Funds,3.5,7.1,7.7
ICICI Pru Short Term Fund,4,Debt,Short Duration Funds,6.4,7.5,7.7
SBI Dynamic Bond Fund,4,Debt,Dynamic Bond,5.9,5.9,7.9
Kotak Dynamic Bond Fund,4,Debt,Dynamic Bond,3.9,6.6,7.8
Sundaram Corporate Bond Fund,4,Debt,Corporate Bond Mutual Funds,4.5,6.8,7.3
Nippon India Banking & PSU Debt Fund,4,Debt,Banking and PSU Mutual Funds,4.2,6.9,7.4
Aditya Birla SL Short Term Fund,4,Debt,Short Duration Funds,5.5,7.8,7.6
HDFC Dynamic Debt Fund,4,Debt,Dynamic Bond,4.6,7.3,6.1
PGIM India Corporate Bond Fund,4,Debt,Corporate Bond Mutual Funds,4.3,6.8,6.9
Aditya Birla SL Banking&PSU Debt Fund,4,Debt,Banking and PSU Mutual Funds,4.5,6.8,7.3
Nippon India Income Fund,4,Debt,Medium to Long Duration Funds,6,5.8,7.9
Nippon India Short Term Fund,4,Debt,Short Duration Funds,4.3,6.7,7.2
Aditya Birla SL Corporate Bond Fund,4,Debt,Corporate Bond Mutual Funds,4.9,7.1,7.4
HDFC Banking and PSU Debt Fund,4,Debt,Banking and PSU Mutual Funds,4.3,6.8,7.2
AXIS Short Term Fund,4,Debt,Short Duration Funds,4.9,6.9,7.4
AXIS Banking & PSU Debt Fund,4,Debt,Banking and PSU Mutual Funds,4.5,6.4,7.2
AXIS Strategic Bond Fund,4,Debt,Medium Duration Funds,5.2,7.4,7.4
Kotak Medium Term Fund,4,Debt,Medium Duration Funds,4,7,6.6
HDFC Floating Rate Debt Fund,4,Debt,Floater Mutual Funds,5.6,6.5,6.9
Aditya Birla SL Low Duration Fund,4,Debt,Low Duration Funds,5.7,6.5,7
ICICI Pru Debt Management Fund,4,Other,FoFs Domestic,5.8,6.7,7
IDBI Short Term Bond Fund,4,Debt,Short Duration Funds,4.1,9.4,6.9
IIFL Dynamic Bond Fund,4,Debt,Dynamic Bond,3.3,6,6.5
HDFC Low Duration Fund,4,Debt,Low Duration Funds,5.4,6.2,6.7
Aditya Birla SL Credit Risk Fund,4,Debt,Credit Risk Funds,8.7,9,7.2
AXIS Credit Risk Fund,4,Debt,Credit Risk Funds,5.4,7.4,6.8
ICICI Pru Ultra Short Term Fund,4,Debt,Ultra Short Duration Funds,5.7,5.9,6.7
AXIS Treasury Advantage Fund,4,Debt,Low Duration Funds,5.3,5.9,6.6
Nippon India Low Duration Fund,4,Debt,Low Duration Funds,5.3,6.2,6.5
Aditya Birla SL Savings Fund,4,Debt,Ultra Short Duration Funds,5.5,5.8,6.5
Franklin India Floating Rate Fund,4,Debt,Floater Mutual Funds,5.8,5.6,6.2
Aditya Birla SL Money Manager Fund,4,Debt,Money Market Funds,5.6,5.6,6.4
AXIS Ultra Short Term Fund,4,Debt,Ultra Short Duration Funds,5.7,5.4,
HDFC Ultra Short Term Fund,4,Debt,Ultra Short Duration Funds,5.4,5.5,
JM Dynamic Bond Fund,4,Debt,Dynamic Bond,4.8,6,6.1
UTI-Money Market Fund,4,Debt,Money Market Funds,5.6,5.3,6.2
Tata Ultra Short Term Fund,4,Debt,Ultra Short Duration Funds,5.5,5.1,
AXIS Arbitrage Fund,4,Hybrid,Arbitrage Mutual Funds,5.6,4.9,5.6
Nippon India Arbitrage Fund,4,Hybrid,Arbitrage Mutual Funds,5.6,4.9,5.7
HSBC Arbitrage Fund,4,Hybrid,Arbitrage Mutual Funds,5.4,4.7,5.5
Kotak Equity Arbitrage Fund,4,Hybrid,Arbitrage Mutual Funds,5.8,4.9,5.6
IDBI Liquid Fund,4,Debt,Liquid Mutual Funds,5.6,4.4,5.4
JM Low Duration Fund,4,Debt,Low Duration Funds,5.1,11.5,5.3
Edelweiss Liquid Fund,4,Debt,Liquid Mutual Funds,5.6,4.4,5.4
Aditya Birla SL Liquid Fund,4,Debt,Liquid Mutual Funds,5.7,4.4,5.4
Union Liquid Fund,4,Debt,Liquid Mutual Funds,5.7,4.4,4.6
AXIS Liquid Fund,4,Debt,Liquid Mutual Funds,5.7,4.3,5.4
UTI-Liquid – Cash Plan – Direct Growth,4,Debt,Liquid Mutual Funds,5.7,4.4,5.3
Bank of India Liquid Fund,4,Debt,Liquid Mutual Funds,5.7,4.3,5.3
JM Liquid Fund,4,Debt,Liquid Mutual Funds,5.6,4.2,5.3
Sundaram Liquid Fund,4,Debt,Liquid Mutual Funds,5.7,4.2,3.3
DSP Overnight Fund,4,Debt,Overnight Mutual Funds,5.4,3.9,
Nippon India Overnight Fund,4,Debt,Overnight Mutual Funds,5.4,3.9,
AXIS Overnight Fund,4,Debt,Overnight Mutual Funds,5.4,3.9,
Tata Medium Term Fund,4,Debt,Medium Duration Funds,1.7,32.4,13.3
UTI-Credit Risk Fund,4,Debt,Credit Risk Funds,5,8.3,-0.9
Mirae Asset Focused Fund,4,Equity,Focused Funds,-4.9,28.4,
Mirae Asset Midcap Fund,4,Equity,Mid Cap Mutual Funds,1.2,35,
Mahindra Manulife Aggressive Hybrid Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,2.7,24.6,
Union Focused Fund,4,Equity,Focused Funds,-0.1,26.2,
LIC MF Overnight Fund,4,Debt,Overnight Mutual Funds,5.4,3.9,
Mahindra Manulife Overnight Fund,4,Debt,Overnight Mutual Funds,5.4,3.9,
AXIS Money Market Fund,4,Debt,Money Market Funds,5.6,5.4,
PGIM India Overnight Fund,4,Debt,Overnight Mutual Funds,5.4,3.9,
Mahindra Manulife Ultra Short Duration Fund,4,Debt,Ultra Short Duration Funds,5.5,5.1,
Motilal Oswal Nifty 50 Index Fund,4,Other,Index Funds,0.1,26,
AXIS All Seasons Debt Fund,4,Other,FoFs Domestic,4.7,6.2,
Bandhan Emerging Businesses Fund,4,Equity,Small Cap Mutual Funds,-1.5,34.1,
PGIM India Money Market Fund,4,Debt,Money Market Funds,5.7,5.1,
Tata Floating Rate Fund,4,Debt,Floater Mutual Funds,5.6,,
Union Small Cap Fund,3,Equity,Small Cap Mutual Funds,-0.1,37.1,12.8
ICICI Pru Smallcap Fund,3,Equity,Small Cap Mutual Funds,7.7,41.8,14.9
Invesco India Smallcap Fund,3,Equity,Small Cap Mutual Funds,3.5,34.6,
Mahindra Manulife Mid Cap Fund,3,Equity,Mid Cap Mutual Funds,3.7,31,14.7
IDBI Small Cap Fund,3,Equity,Small Cap Mutual Funds,2.1,38.5,12.6
AXIS Growth Opportunities Fund,3,Equity,Large & Mid Cap Funds,-6.4,26.5,
Baroda BNP Paribas Mid Cap Fund,3,Equity,Mid Cap Mutual Funds,2.4,30.6,13.6
HSBC Small Cap Fund,3,Equity,Small Cap Mutual Funds,5.1,44.7,12.7
UTI-Mid Cap Fund,3,Equity,Mid Cap Mutual Funds,0.4,31.1,11.4
Invesco India Midcap Fund,3,Equity,Mid Cap Mutual Funds,0.2,33.5,14.6
Bandhan Sterling Value Fund,3,Equity,Value Funds,5.5,41.6,12
Tata Mid Cap Growth Fund,3,Equity,Mid Cap Mutual Funds,1.3,29.2,13.5
Canara Robeco Infrastructure – Direct Growth,3,Equity,Sectoral / Thematic Mutual Funds,13.7,34.9,12.2
Baroda BNP Paribas India Consumption Fund,3,Equity,Sectoral / Thematic Mutual Funds,5.2,23.3,
Tata Infrastructure Fund,3,Equity,Sectoral / Thematic Mutual Funds,14,35,13.1
Taurus Discovery (Midcap) Fund,3,Equity,Mid Cap Mutual Funds,3.6,26.4,10.9
Canara Robeco Emerging Equities – Direct Growth,3,Equity,Large & Mid Cap Funds,-0.2,27,12.6
HDFC Small Cap Fund,3,Equity,Small Cap Mutual Funds,12.5,43.5,13.5
HDFC Mid-Cap Opportunities Fund,3,Equity,Mid Cap Mutual Funds,11.9,34.2,13.1
LIC MF Large & Mid Cap Fund,3,Equity,Large & Mid Cap Funds,-4.3,22.8,10.9
ICICI Pru MidCap Fund,3,Equity,Mid Cap Mutual Funds,3.9,32.9,11.1
IDBI Flexi Cap Fund,3,Equity,Flexi Cap Funds,-2,25.9,11.8
HDFC Large and Mid Cap Fund,3,Equity,Large & Mid Cap Funds,6.3,33.3,12.8
Sundaram Multi Cap Fund,3,Equity,Multi Cap Funds,-2.2,28.1,11
Nippon India Value Fund,3,Equity,Value Funds,0,30.3,12.2
Aditya Birla SL India GenNext Fund,3,Equity,Sectoral / Thematic Mutual Funds,4.6,25,13.3
Mahindra Manulife ELSS Fund,3,Equity,ELSS Mutual Funds,2.3,29.3,12
Mirae Asset Great Consumer Fund,3,Equity,Sectoral / Thematic Mutual Funds,8.1,27.2,14
DSP India T.I.G.E.R. Fund,3,Equity,Sectoral / Thematic Mutual Funds,15.8,36.4,11.9
Templeton India Value Fund,3,Equity,Value Funds,13.1,39.4,12.3
Nippon India Focused Equity Fund,3,Equity,Focused Funds,3.2,33,11.9
SBI Focused Equity Fund,3,Equity,Focused Funds,-4.9,22,12.2
JM Tax Gain Fund,3,Equity,ELSS Mutual Funds,0.9,26.2,12.8
Navi Large & Midcap Fund,3,Equity,Large & Mid Cap Funds,1.6,28.7,12.7
HSBC Value Fund,3,Equity,Value Funds,6.8,33,11.6
UTI-Long Term Equity Fund,3,Equity,ELSS Mutual Funds,-2.9,24.5,10.9
Kotak Gold Fund,3,Other,FoFs Domestic,14.2,12.2,13.7
SBI Gold Fund,3,Other,FoFs Domestic,14.8,11.9,13.4
DSP Flexi Cap Fund,3,Equity,Flexi Cap Funds,-0.1,22.8,12
LIC MF Infrastructure Fund,3,Equity,Sectoral / Thematic Mutual Funds,6.7,29.8,11.2
DSP Equity Opportunities Fund,3,Equity,Large & Mid Cap Funds,3.2,31.6,11.7
IDBI Gold Fund,3,Other,FoFs Domestic,15,12.1,12.9
HDFC Focused 30 Fund,3,Equity,Focused Funds,16,35.8,11.9
ICICI Pru Regular Gold Savings Fund,3,Other,FoFs Domestic,14.3,11.7,13.1
Taurus Infrastructure Fund,3,Equity,Sectoral / Thematic Mutual Funds,-0.7,25.3,8.9
Edelweiss Flexi Cap Fund,3,Equity,Flexi Cap Funds,1.9,27.5,12.1
Nippon India Power & Infra Fund,3,Equity,Sectoral / Thematic Mutual Funds,20.4,37.2,10.1
Sundaram Large and Mid Cap Fund,3,Equity,Large & Mid Cap Funds,-1.3,25.4,11.7
Union Value Discovery Fund,3,Equity,Value Funds,2.9,29.7,
Invesco India Tax Plan – Direct Growth,3,Equity,ELSS Mutual Funds,-5.2,22.4,10.8
SBI Flexi Cap Fund,3,Equity,Flexi Cap Funds,-1,25.2,11
Bandhan Core Equity Fund,3,Equity,Large & Mid Cap Funds,6.8,29.6,11.3
Sundaram Tax Savings Fund,3,Equity,ELSS Mutual Funds,1.2,27.7,9.9
SBI Long Term Equity Fund,3,Equity,ELSS Mutual Funds,8.7,30.1,11.6
Baroda BNP Paribas Focused Fund,3,Equity,Focused Funds,0.5,23.1,9.9
ICICI Pru Bharat Consumption Fund,3,Equity,Sectoral / Thematic Mutual Funds,10.2,22.7,
DSP Nifty 50 Equal Weight Index Fund,3,Other,Index Funds,2.2,30.9,10.7
SBI BlueChip Fund,3,Equity,Large Cap Mutual Funds,4.2,27,11.4
